Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Symbol
2024-01-02,76.1,76.34,72.26,73.0,178064,ALR
2024-01-03,73.0,74.88,72.94,74.68,225115,ALR
2024-01-04,73.8,74.24,72.54,74.18,232088,ALR
2024-01-05,73.8,74.9,71.8,74.5,162104,ALR
2024-01-08,74.42,75.38,73.02,75.38,185661,ALR
2024-01-09,76.0,76.24,74.44,75.04,113855,ALR
2024-01-10,74.7,74.8,73.06,73.32,170065,ALR
2024-01-11,73.98,74.0,69.9,70.42,275514,ALR
2024-01-12,70.42,72.44,70.12,71.5,214453,ALR
2024-01-15,71.14,72.18,70.12,70.52,104321,ALR
2024-01-16,71.0,71.0,68.58,70.5,173386,ALR
2024-01-17,69.02,69.96,68.36,68.88,126153,ALR
2024-01-18,68.9,71.38,68.9,71.02,164430,ALR
2024-01-19,70.74,71.2,69.78,69.82,302952,ALR
2024-01-22,70.04,71.5,70.02,70.9,67534,ALR
2024-01-23,70.8,70.9,69.22,70.48,193284,ALR
2024-01-24,71.0,73.1,70.2,71.56,225084,ALR
2024-01-25,71.86,72.6,69.9,72.0,262976,ALR
2024-01-26,72.2,72.78,71.04,72.7,107450,ALR
2024-01-29,72.94,73.38,71.7,71.86,147343,ALR
2024-01-30,72.0,73.72,71.98,73.18,186590,ALR
2024-01-02,115.05,115.85,109.95,111.9,399398,CDR
2024-01-03,111.85,112.0,108.4,111.65,390528,CDR
2024-01-04,111.65,112.5,110.0,112.25,211875,CDR
2024-01-05,112.05,112.05,107.65,111.1,509914,CDR
2024-01-08,110.8,111.0,109.25,110.25,133249,CDR
2024-01-09,110.25,111.5,109.65,111.45,225119,CDR
2024-01-10,111.35,113.15,110.45,111.2,199370,CDR
2024-01-11,111.2,111.8,107.6,107.6,385541,CDR
2024-01-12,108.0,109.85,107.15,108.0,230382,CDR
2024-01-15,107.95,108.0,105.5,106.65,259067,CDR
2024-01-16,106.6,106.95,104.85,105.0,315846,CDR
2024-01-17,104.9,105.1,100.0,100.0,651055,CDR
2024-01-18,100.8,102.0,97.1,99.9,594224,CDR
2024-01-19,100.5,101.45,97.76,99.2,506057,CDR
2024-01-22,100.05,101.55,99.64,101.55,248633,CDR
2024-01-23,103.8,108.6,100.8,103.75,466631,CDR
2024-01-24,104.2,105.65,104.05,105.5,304587,CDR
2024-01-25,105.5,107.0,102.65,106.35,478910,CDR
2024-01-26,106.35,106.6,103.65,105.15,232329,CDR
2024-01-29,105.35,105.65,103.75,105.0,185957,CDR
2024-01-30,105.0,106.05,103.7,103.8,316217,CDR
2024-01-02,461.4,465.8,454.8,457.7,105964,DNP
2024-01-03,457.7,462.0,450.0,456.3,166235,DNP
2024-01-04,455.6,457.0,449.7,453.4,162076,DNP
2024-01-05,451.0,454.8,446.3,451.5,206708,DNP
2024-01-08,451.2,452.4,440.0,450.7,150390,DNP
2024-01-09,450.8,456.5,448.9,451.0,200307,DNP
2024-01-10,451.0,460.1,451.0,459.9,167599,DNP
2024-01-11,459.4,467.9,459.0,463.8,118962,DNP
2024-01-12,461.5,461.5,409.2,409.2,953546,DNP
2024-01-15,413.0,420.6,408.5,414.9,315462,DNP
2024-01-16,413.6,423.6,411.1,419.9,204407,DNP
2024-01-17,417.6,420.3,405.2,408.1,174042,DNP
2024-01-18,408.1,416.0,405.1,411.4,207284,DNP
2024-01-19,410.8,419.4,407.2,414.2,164477,DNP
2024-01-22,417.1,419.7,406.2,410.0,206957,DNP
2024-01-23,410.0,417.3,408.5,415.9,154771,DNP
2024-01-24,416.4,422.0,413.9,419.0,175366,DNP
2024-01-25,416.4,423.8,415.1,423.1,129841,DNP
2024-01-26,425.0,427.3,419.3,425.4,127230,DNP
2024-01-29,425.0,426.9,422.9,425.6,61396,DNP
2024-01-30,426.0,428.7,419.5,426.6,67819,DNP
2024-01-02,42.03,42.48,40.85,41.29,358876,JSW
2024-01-03,41.32,41.39,39.84,40.86,402942,JSW
2024-01-04,40.86,41.7,40.32,40.8,280609,JSW
2024-01-05,40.62,40.89,39.88,40.78,267830,JSW
2024-01-08,40.75,40.75,39.9,40.14,217694,JSW
2024-01-09,40.3,40.64,39.85,40.16,317612,JSW
2024-01-10,40.16,40.72,39.3,39.33,367081,JSW
2024-01-11,39.88,39.92,38.75,39.27,416319,JSW
2024-01-12,39.32,40.35,39.32,40.35,293735,JSW
2024-01-15,40.35,40.84,38.5,39.16,298871,JSW
2024-01-16,39.0,39.52,38.85,39.51,125715,JSW
2024-01-17,39.3,39.34,37.62,37.62,556351,JSW
2024-01-18,38.01,39.0,37.32,37.8,369148,JSW
2024-01-19,37.79,38.83,37.78,37.99,306774,JSW
2024-01-22,38.35,38.85,37.7,38.2,185075,JSW
2024-01-23,40.16,41.85,39.22,41.71,762986,JSW
2024-01-24,41.96,43.74,41.9,42.8,769773,JSW
2024-01-25,42.84,43.25,42.01,42.2,456470,JSW
2024-01-26,42.16,43.27,41.1,42.98,331336,JSW
2024-01-29,42.57,43.5,42.57,43.4,320074,JSW
2024-01-30,43.59,43.8,42.75,42.76,337136,JSW
